action,total_yield,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean,total_gain
"{'nom': 'Microsoft', 'symbole': 'MSFT', 'secteur': 'Technologie', 'liquidite': 'Haute'}","1,00823109156","1008,23109156",1,"0,00823109",1,"0,00823109",0,0,0,0,0,0,0,0,0
"{'nom': 'Apple', 'symbole': 'AAPL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9177184148199997","917,7184148199997",4,"-0,02109476",0,0,4,"-0,02109476",0,0,0,0,0,0,0
"{'nom': 'NVIDIA', 'symbole': 'NVDA', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,7532563630476995","753,2563630476994",23,"-0,012049624347826087",3,"0,020743363333333334",20,"-0,016968572499999994",0,0,0,0,0,0,0
"{'nom': 'Alphabet', 'symbole': 'GOOGL', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9008128259799998","900,8128259799998",6,"-0,016125943333333333",4,"0,006365055",2,"-0,06110794",0,0,0,0,0,0,0
"{'nom': 'Amazon', 'symbole': 'AMZN', 'secteur': 'Technologie', 'liquidite': 'Haute'}","0,9695745180400003","969,5745180400004",6,"-0,0050917866666666655",2,"0,006767895",4,"-0,011021627499999999",0,0,0,0,0,0,0
"{'nom': 'Eli Lilly', 'symbole': 'LLY', 'secteur': 'Pharmaceutique', 'liquidite': 'Moyenne'}","0,9063730520600001","906,3730520600001",6,"-0,016078328333333333",1,"0,0039304",5,"-0,020080073999999996",0,0,0,0,0,0,0
"{'nom': 'Broadcom', 'symbole': 'AVGO', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","1,00941524187345","1009,41524187345",5,"0,001971098",3,"0,01122502",2,"-0,011909784999999999",0,0,0,0,0,0,0
"{'nom': 'JPMorgan Chase', 'symbole': 'JPM', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,0089571146100003","1008,9571146100002",3,"0,0030036633333333333",2,"0,008077905",1,"-0,00714482",0,0,0,0,0,0,0
"{'nom': 'Tesla', 'symbole': 'TSLA', 'secteur': 'Automobile', 'liquidite': 'Haute'}","0,935227459729999","935,2274597299993",22,"-0,0028375672727272722",8,"0,0176795525",14,"-0,014561635714285714",0,0,0,0,0,0,0
"{'nom': 'Visa', 'symbole': 'V', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","1,0",1000,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'nom': 'Walmart', 'symbole': 'WMT', 'secteur': 'Grande distribution', 'liquidite': 'Haute'}","0,9980906628799999","998,09066288",1,"-0,00190934",0,0,1,"-0,00190934",0,0,0,0,0,0,0
"{'nom': 'UnitedHealth', 'symbole': 'UNH', 'secteur': 'Assurance santé', 'liquidite': 'Moyenne'}","1,00090687422","1000,9068742200001",4,"0,00027585999999999973",1,"0,01673525",3,"-0,005210603333333334",0,0,0,0,0,0,0
"{'nom': 'ExxonMobil', 'symbole': 'XOM', 'secteur': 'Énergie', 'liquidite': 'Moyenne'}","1,0032793433499998","1003,2793433499997",3,"0,00112482",1,"0,01207192",2,"-0,00434873",0,0,0,0,0,0,0
"{'nom': 'Mastercard', 'symbole': 'MA', 'secteur': 'Services financiers', 'liquidite': 'Haute'}","0,99386637736","993,86637736",1,"-0,00613362",0,0,1,"-0,00613362",0,0,0,0,0,0,0
"{'nom': 'Johnson & Johnson', 'symbole': 'JNJ', 'secteur': 'Pharmaceutique', 'liquidite': 'Haute'}","0,9826161464599998","982,6161464599999",8,"-0,00216857625",3,"0,00431061",5,"-0,006056088",0,0,0,0,0,0,0
"{'nom': 'Advanced Micro Devices', 'symbole': 'AMD', 'secteur': 'Technologie', 'liquidite': 'Moyenne'}","1,0278825250099997","1027,8825250099997",23,"0,0013170904347826087",10,"0,015875467999999997",13,"-0,009881661538461537",0,0,0,0,0,0,0
