action,total_yield,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean
MSFT,"7,290661804939997","7290,661804940003",48,"0,017063006250000002",39,"0,02319805358974359",9,"-0,009522198888888889",88,"0,013677505113636374",74,"0,01726523621621623",14,"-0,005286216428571429"
AAPL,"9,137662343519983","9137,662343519984",62,"0,016732690806451612",53,"0,020885669433962264",9,"-0,007723738888888889",69,"0,017700790289855065",64,"0,020949950156249994",5,"-0,023888456"
NVDA,"54,95329246844004","54953,292468439984",75,"0,02788625279999999",64,"0,033457784531249986",11,"-0,004529931818181818",75,"0,02746592893333334",65,"0,03369156707692309",10,"-0,013000718999999999"
GOOGL,"13,032548584809996","13032,548584810005",62,"0,017194076129032256",43,"0,02717473697674418",19,"-0,005393735263157895",85,"0,01829051047058824",69,"0,023432486086956528",16,"-0,0038842593750000004"
AMZN,"9,17989824080999","9179,898240809995",50,"0,017688145799999996",37,"0,02665494297297297",13,"-0,007832738461538463",87,"0,015931433333333335",72,"0,020797963055555556",15,"-0,007427909333333334"
META,"11,329349412500024","11329,349412500018",76,"0,015436679605263164",51,"0,02622470647058824",25,"-0,006570895199999999",73,"0,018329554794520548",61,"0,023057074590163935",12,"-0,005702004166666667"
LLY,"7,809949771300004","7809,949771299998",45,"0,027937988444444433",36,"0,03638587972222221",9,"-0,005853576666666666",57,"0,015178259122807014",41,"0,023432303902439017",16,"-0,0059727306249999996"
AVGO,"11,21802597743999","11218,025977439987",16,"0,013993486250000001",9,"0,032186391111111115",7,"-0,00939739142857143",97,"0,0235630030927835",61,"0,04219216721311474",36,"-0,008003080555555557"
JPM,"5,59496179142001","5594,961791420005",40,"0,015175635999999998",33,"0,01956803272727273",7,"-0,005531377142857144",62,"0,018582147258064508",42,"0,029331394523809513",20,"-0,003991272"
TSLA,"86,05191653293997","86051,91653293998",81,"0,024779834320987657",62,"0,03584664580645161",19,"-0,01133291894736842",71,"0,036916937183098596",59,"0,04656041525423728",12,"-0,010496829999999999"
V,"9,80161766372999","9801,617663729996",19,"0,021256450000000003",13,"0,03413353230769231",6,"-0,006643895",115,"0,016673538608695655",101,"0,019651225841584158",14,"-0,004808347857142857"
WMT,"5,685425379150001","5685,425379149997",23,"0,008964423478260868",14,"0,01788909642857143",9,"-0,004918401111111112",118,"0,013233624745762708",99,"0,016423257272727268",19,"-0,0033860394736842103"
UNH,"13,314048847459995","13314,048847460002",50,"0,019139248999999997",33,"0,031248566363636363",17,"-0,004367072941176471",80,"0,021614279",56,"0,03391450142857143",24,"-0,007086240000000003"
XOM,"6,941235664659993","6941,235664659993",17,"0,010995281176470589",11,"0,025136411818181815",6,"-0,014930125000000002",132,"0,013778820833333332",72,"0,03222702291666665",60,"-0,008359021666666666"
MA,"4,963615693559991","4963,615693559994",94,"0,012199613510638295",63,"0,02056752968253968",31,"-0,004806151612903225",23,"0,02117126260869565",19,"0,026707005263157894",4,"-0,005123515"
AAPL,"9,137662343519983","9137,662343519984",62,"0,016732690806451612",53,"0,020885669433962264",9,"-0,007723738888888889",69,"0,017700790289855065",64,"0,020949950156249994",5,"-0,023888456"
JNJ,"4,391331240340004","4391,33124034",66,"0,014081405909090908",47,"0,02195744723404256",19,"-0,005401433157894738",40,"0,014645704749999993",27,"0,023973816296296295",13,"-0,004728065384615385"
AMD,"60,324974381570016","60324,97438157003",72,"0,02946273444444444",59,"0,037025090000000004",13,"-0,004858725384615385",79,"0,026984370506329118",63,"0,03543464873015874",16,"-0,006288599999999999"
PEP,"4,779601731339993","4779,601731339993",73,"0,01444796712328767",47,"0,02474305723404255",26,"-0,004162388076923077",41,"0,013404498292682927",25,"0,025159438800000003",16,"-0,0049625962499999995"
AZN,"8,960986316149992","8960,98631615",60,"0,018462163000000007",49,"0,023737447142857145",11,"-0,00503683",65,"0,01767184215384615",41,"0,03139103804878048",24,"-0,0057651175"
SHEL,"15,740237891839993","15740,23789184",49,"0,017836090612244893",39,"0,023798927179487176",10,"-0,005418971999999999",94,"0,02081973",57,"0,037572427017543854",37,"-0,004988478918918919"
TMO,"7,8789299702100095","7878,929970210003",32,"0,023331435624999994",25,"0,03076197679999999",7,"-0,0032062114285714284",71,"0,019324547887323948",57,"0,026260712105263158",14,"-0,008915549285714286"
ADBE,"19,84224329729","19842,243297289988",75,"0,018834683466666665",58,"0,02607311448275862",17,"-0,00586114",73,"0,02275642876712329",61,"0,02864670163934426",12,"-0,007185791666666666"
QCOM,"19,76280977855998","19762,809778560004",73,"0,023945679178082185",56,"0,03441334607142856",17,"-0,01053604705882353",52,"0,02525075326923076",44,"0,030861092954545453",8,"-0,005606115"
CSCO,"6,737298845899998","6737,298845899997",63,"0,015831389047619045",45,"0,024151973333333337",18,"-0,004970071666666666",50,"0,018920322200000003",41,"0,02350242853658537",9,"-0,0019537177777777777"
MCD,"4,541531006550002","4541,531006550001",50,"0,012342583600000004",40,"0,016419598750000007",10,"-0,003965476999999999",69,"0,01336039666666667",44,"0,02309158204545455",25,"-0,0037664895999999994"
BABA,"8,652648828240006","8652,64882824",39,"0,022384183589743596",32,"0,029033750625000007",7,"-0,008013837142857142",77,"0,017182994285714293",69,"0,019419514782608702",8,"-0,002106995"
