action,total_yield,ratio,cash,long_total,long_mean,long_profit,long_profit_mean,long_loss,long_loss_mean,short_total,short_mean,short_profit,short_profit_mean,short_loss,short_loss_mean,trades,parameters,strat_ratio,results
JNJ,1.0286149882450002,0.6428571428571429,1028.6149882450002,0,0,0,0,0,0,14,0.002030687142857143,9,0.005084537777777778,5,-0.0034662440000000003,"{'0': 1, '4': 1.007735757785044, '5': 1.00450299, '6': 1.00464216, '7': 0.992238973674344, '9': 1.0016958313606452, '11': 1.0030952598779246, '12': 1.0144933816406478}","{'strat': 'short_trend', 'rsi': 55, 'rate': 1, 'vol': 6.5, 'sl': 2, 'tp': 2.5, 'len_EMA': 400, 'len_trend': 100}",0.003043831168831169,"{'strat': 'short_trend', 'rsi': {'25': 0, '30': 0, '35': 35, '40': 66, '45': 123, '50': 112, '55': 48, '60': 79, '65': 35, '70': 24, '75': 18}, 'rate': {'1': 95, '1.5': 149, '2': 204, '2.5': 80, '3': 12, '3.5': 0, '4': 0}, 'vol': {'4.5': 75, '5': 75, '5.5': 75, '6': 141, '6.5': 87, '7': 87}, 'sll': {'0.5': 47, '1': 254, '1.5': 112, '2': 106, '2.5': 11, '3': 0, '3.5': 6, '4': 4}, 'tp': {'1': 176, '1.5': 111, '2': 221, '2.5': 22, '3': 0, '3.5': 2, '4': 4, '4.5': 4}, 'lenEMA': {'100': 0, '200': 138, '300': 123, '400': 279, '500': 0}}"
JNJ,0.9923480248399998,0.25,992.3480248399998,0,0,0,0,0,0,4,-0.001914775,1,0.00184604,3,-0.00316838,"{'0': 1, '4': 0.99814974, '5': 1.00184604, '6': 0.99413096, '15': 0.99821416}","{'strat': 'short_trend', 'rsi': 55, 'rate': 1, 'vol': 6.5, 'sl': 2, 'tp': 2.5, 'len_EMA': 400, 'len_trend': 100}",0.003043831168831169,0
JNJ,1.0286149882450002,0.6428571428571429,1028.6149882450002,0,0,0,0,0,0,14,0.002030687142857143,9,0.005084537777777778,5,-0.0034662440000000003,"{'0': 1, '4': 1.007735757785044, '5': 1.00450299, '6': 1.00464216, '7': 0.992238973674344, '9': 1.0016958313606452, '11': 1.0030952598779246, '12': 1.0144933816406478}",{},0.0,"{'strat': 'long_trend', 'rsi': {'25': 0, '30': 0, '35': 0, '40': 0, '45': 0, '50': 0, '55': 0, '60': 0, '65': 0, '70': 0, '75': 0}, 'rate': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'vol': {'4.5': 0, '5': 0, '5.5': 0, '6': 0, '6.5': 0, '7': 0}, 'sll': {'0.5': 0, '1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'tp': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0, '4.5': 0}, 'lenEMA': {'100': 0, '200': 0, '300': 0, '400': 0, '500': 0}}"
JNJ,1.0286149882450002,0.6428571428571429,1028.6149882450002,0,0,0,0,0,0,14,0.002030687142857143,9,0.005084537777777778,5,-0.0034662440000000003,"{'0': 1, '4': 1.007735757785044, '5': 1.00450299, '6': 1.00464216, '7': 0.992238973674344, '9': 1.0016958313606452, '11': 1.0030952598779246, '12': 1.0144933816406478}","{'strat': 'short_trend', 'rsi': 55, 'rate': 1, 'vol': 6.5, 'sl': 2, 'tp': 2.5, 'len_EMA': 400, 'len_trend': 100}",0.003043831168831169,"{'strat': 'short_trend', 'rsi': {'25': 0, '30': 0, '35': 35, '40': 66, '45': 123, '50': 112, '55': 48, '60': 79, '65': 35, '70': 24, '75': 18}, 'rate': {'1': 95, '1.5': 149, '2': 204, '2.5': 80, '3': 12, '3.5': 0, '4': 0}, 'vol': {'4.5': 75, '5': 75, '5.5': 75, '6': 141, '6.5': 87, '7': 87}, 'sll': {'0.5': 47, '1': 254, '1.5': 112, '2': 106, '2.5': 11, '3': 0, '3.5': 6, '4': 4}, 'tp': {'1': 176, '1.5': 111, '2': 221, '2.5': 22, '3': 0, '3.5': 2, '4': 4, '4.5': 4}, 'lenEMA': {'100': 0, '200': 138, '300': 123, '400': 279, '500': 0}}"
JNJ,0.9923480248399998,0.25,992.3480248399998,0,0,0,0,0,0,4,-0.001914775,1,0.00184604,3,-0.00316838,"{'0': 1, '4': 0.99814974, '5': 1.00184604, '6': 0.99413096, '15': 0.99821416}","{'strat': 'short_trend', 'rsi': 55, 'rate': 1, 'vol': 6.5, 'sl': 2, 'tp': 2.5, 'len_EMA': 400, 'len_trend': 100}",0.003043831168831169,0
JNJ,1.0286149882450002,0.6428571428571429,1028.6149882450002,0,0,0,0,0,0,14,0.002030687142857143,9,0.005084537777777778,5,-0.0034662440000000003,"{'0': 1, '4': 1.007735757785044, '5': 1.00450299, '6': 1.00464216, '7': 0.992238973674344, '9': 1.0016958313606452, '11': 1.0030952598779246, '12': 1.0144933816406478}",{},0.0,"{'strat': 'long_trend', 'rsi': {'25': 0, '30': 0, '35': 0, '40': 0, '45': 0, '50': 0, '55': 0, '60': 0, '65': 0, '70': 0, '75': 0}, 'rate': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'vol': {'4.5': 0, '5': 0, '5.5': 0, '6': 0, '6.5': 0, '7': 0}, 'sll': {'0.5': 0, '1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'tp': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0, '4.5': 0}, 'lenEMA': {'100': 0, '200': 0, '300': 0, '400': 0, '500': 0}}"
JNJ,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,{'0': 1},{},0.0,"{'strat': 'short_trend', 'rsi': {'25': 0, '30': 0, '35': 0, '40': 0, '45': 0, '50': 0, '55': 0, '60': 0, '65': 0, '70': 0, '75': 0}, 'rate': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'vol': {'4.5': 0, '5': 0, '5.5': 0, '6': 0, '6.5': 0, '7': 0}, 'sll': {'0.5': 0, '1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'tp': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0, '4.5': 0}, 'lenEMA': {'100': 0, '200': 0, '300': 0, '400': 0, '500': 0}}"
JNJ,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,{'0': 1},{},0.0,"{'strat': 'short_trend', 'rsi': {'25': 0, '30': 0, '35': 0, '40': 0, '45': 0, '50': 0, '55': 0, '60': 0, '65': 0, '70': 0, '75': 0}, 'rate': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'vol': {'4.5': 0, '5': 0, '5.5': 0, '6': 0, '6.5': 0, '7': 0}, 'sll': {'0.5': 0, '1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'tp': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0, '4.5': 0}, 'lenEMA': {'100': 0, '200': 0, '300': 0, '400': 0, '500': 0}}"
JNJ,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,{'0': 1},{},0.0,"{'strat': 'short_trend', 'rsi': {'25': 0, '30': 0, '35': 0, '40': 0, '45': 0, '50': 0, '55': 0, '60': 0, '65': 0, '70': 0, '75': 0}, 'rate': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'vol': {'4.5': 0, '5': 0, '5.5': 0, '6': 0, '6.5': 0, '7': 0}, 'sll': {'0.5': 0, '1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'tp': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0, '4.5': 0}, 'lenEMA': {'100': 0, '200': 0, '300': 0, '400': 0, '500': 0}}"
JNJ,1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,{'0': 1},{},0.0,"{'strat': 'short_trend', 'rsi': {'25': 0, '30': 0, '35': 0, '40': 0, '45': 0, '50': 0, '55': 0, '60': 0, '65': 0, '70': 0, '75': 0}, 'rate': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'vol': {'4.5': 0, '5': 0, '5.5': 0, '6': 0, '6.5': 0, '7': 0}, 'sll': {'0.5': 0, '1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0}, 'tp': {'1': 0, '1.5': 0, '2': 0, '2.5': 0, '3': 0, '3.5': 0, '4': 0, '4.5': 0}, 'lenEMA': {'100': 0, '200': 0, '300': 0, '400': 0, '500': 0}}"
